W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,A,Mitrovic        ,FUL ,F,6.5 ,102,0.29 ,0.31 ,3.9,4.0 ,1.8 ,12.8,-16698,-2 ,      
o,R,Jiménez         ,WOL ,F,6.9 ,94 ,0.43 ,0.48 ,5.0,5.3 ,5.8 ,35.8,-16943,-1 ,      
m,M,Alonso          ,CHE ,D,6.4 ,92 ,0.5  ,0.5  ,5.2,5.2 ,2.7 ,27.3,-20457,-1 ,      
o,R,Richarlison     ,EVE ,M,6.5 ,82 ,0.37 ,0.45 ,4.4,4.9 ,1.8 ,17.7,-21280,-2 ,      
 ,L,Torreira        ,ARS ,M,4.8 ,82 ,0.1  ,0.25 ,2.5,3.2 ,1.5 ,3.7 ,-26936,-12,      
o,P,Pogba           ,MUN ,M,9.0 ,87 ,0.42 ,0.44 ,5.8,6.0 ,5.8 ,46.0,-33193,-1 ,      
o,H,Son             ,TOT ,M,8.8 ,63 ,0.45 ,0.59 ,6.0,7.2 ,3.0 ,21.8,-34317,-3 ,      
 ,J,Moutinho        ,WOL ,M,5.4 ,88 ,0.24 ,0.3  ,3.3,3.6 ,2.0 ,8.0 ,-35126,-7 ,      
 ,S,Bamba           ,CAR ,D,4.7 ,98 ,0.3  ,0.34 ,3.4,3.6 ,3.3 ,4.2 ,-40624,-15,      
o,M,Salah           ,LIV ,M,13.4,98 ,0.36 ,0.37 ,6.8,6.9 ,4.3 ,46.1,-41371,-1 ,      
o,M,Doherty         ,WOL ,D,5.5 ,97 ,0.33 ,0.36 ,3.8,4.0 ,2.3 ,25.5,-47276,-3 ,      
 ,A,Laporte         ,MCI ,D,5.9 ,93 ,0.37 ,0.39 ,4.2,4.3 ,5.3 ,7.6 ,-51730,-11,      
 ,R,Bennett         ,WOL ,D,4.2 ,100,0.14 ,0.14 ,2.6,2.6 ,2.3 ,10.7,-55901,-8 ,      
o,M,Rashford        ,MUN ,F,7.7 ,68 ,0.3  ,0.4  ,4.3,5.1 ,1.3 ,31.1,-56499,-3 ,      
 ,P,Aubameyang      ,ARS ,F,10.9,84 ,0.33 ,0.31 ,5.6,5.4 ,1.8 ,20.7,-82897,-6 ,      
