W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
 ,J,Pickford        ,EVE ,G,5.0 ,100,0.36 ,0.42 ,3.8,4.1 ,1.4 ,14.8,-11822 ,-1 ,      
 ,W,Willian         ,CHE ,M,7.3 ,70 ,0.23 ,0.22 ,3.7,3.6 ,2.4 ,4.8 ,-12041 ,-4 ,      
 ,R,Lukaku          ,MUN ,F,10.7,73 ,0.17 ,0.23 ,3.8,4.5 ,3.4 ,4.2 ,-12208 ,-5 ,      
 ,P,Højbjerg        ,SOU ,M,4.4 ,82 ,0.16 ,0.14 ,2.7,2.6 ,2.2 ,3.7 ,-12557 ,-6 ,      
 ,X,Shaqiri         ,LIV ,M,7.1 ,38 ,0.41 ,0.42 ,4.9,5.0 ,5.4 ,3.5 ,-12708 ,-6 ,      
 ,R,Neves           ,WOL ,M,5.0 ,94 ,0.18 ,0.18 ,2.9,2.9 ,1.7 ,12.4,-14955 ,-2 ,      
o,R,Richarlison     ,EVE ,M,7.0 ,84 ,0.5  ,0.59 ,5.5,6.1 ,5.2 ,30.9,-16322 ,-1 ,      
 ,G,Sigurdsson      ,EVE ,M,7.3 ,93 ,0.37 ,0.38 ,4.7,4.8 ,2.6 ,6.1 ,-17235 ,-5 ,      
m,E,Hazard          ,CHE ,M,11.0,81 ,0.45 ,0.55 ,6.9,8.0 ,7.0 ,35.5,-19402 ,-1 ,      
 ,W,Hennessey       ,CRY ,G,4.5 ,89 ,0.44 ,0.44 ,4.0,4.0 ,1.8 ,5.5 ,-21576 ,-7 ,      
 ,D,David Silva     ,MCI ,M,8.5 ,66 ,0.36 ,0.41 ,5.1,5.5 ,1.2 ,3.9 ,-22116 ,-9 ,      
 ,B,Bernardo Silva  ,MCI ,M,7.5 ,87 ,0.32 ,0.35 ,4.4,4.6 ,3.8 ,6.8 ,-24620 ,-6 ,      
 ,K,Walker          ,MCI ,D,6.5 ,83 ,0.37 ,0.4  ,4.4,4.6 ,1.2 ,13.1,-25459 ,-3 ,      
 ,S,Mané            ,LIV ,M,9.6 ,83 ,0.4  ,0.43 ,5.8,6.1 ,3.2 ,21.6,-27644 ,-2 ,      
 ,S,Rondón          ,NEW ,F,5.9 ,55 ,0.32 ,0.53 ,3.9,5.1 ,4.5 ,3.4 ,-28303 ,-14,      
 ,G,Murray          ,BHA ,F,6.5 ,70 ,0.29 ,0.43 ,3.9,4.8 ,2.2 ,3.7 ,-28500 ,-13,      
 ,L,Torreira        ,ARS ,M,5.2 ,78 ,0.19 ,0.35 ,3.0,3.8 ,4.7 ,8.5 ,-29508 ,-6 ,      
 ,F,Fernandinho     ,MCI ,M,5.4 ,93 ,0.26 ,0.26 ,3.4,3.4 ,2.4 ,4.7 ,-30302 ,-11,      
 ,R,Firmino         ,LIV ,F,9.2 ,84 ,0.24 ,0.24 ,4.2,4.2 ,4.4 ,16.4,-37212 ,-4 ,      
 ,L,Dunk            ,BHA ,D,4.5 ,89 ,0.18 ,0.27 ,2.8,3.2 ,0.8 ,3.9 ,-38838 ,-17,      
 ,L,Lucas Moura     ,TOT ,M,7.0 ,75 ,0.31 ,0.39 ,4.2,4.7 ,3.2 ,8.9 ,-38886 ,-7 ,      
 ,A,Lacazette       ,ARS ,F,9.6 ,70 ,0.29 ,0.41 ,4.8,5.9 ,3.5 ,8.9 ,-39278 ,-7 ,      
m,J,Chicharito      ,WHU ,F,6.5 ,44 ,0.25 ,0.62 ,3.6,6.0 ,6.2 ,7.1 ,-39411 ,-9 ,      
m,A,Laporte         ,MCI ,D,6.1 ,95 ,0.31 ,0.38 ,3.9,4.3 ,1.4 ,15.6,-46817 ,-5 ,      
m,L,Sané            ,MCI ,M,9.7 ,60 ,0.4  ,0.74 ,5.9,9.2 ,5.0 ,16.5,-48013 ,-5 ,      
m,E,Ederson         ,MCI ,G,5.7 ,100,0.4  ,0.44 ,4.3,4.5 ,1.8 ,24.7,-52559 ,-4 ,      
m,M,Alonso          ,CHE ,D,7.0 ,99 ,0.53 ,0.56 ,5.7,5.9 ,3.0 ,44.4,-69344 ,-3 ,      
 ,H,Bellerín        ,ARS ,D,5.4 ,89 ,0.15 ,0.2  ,2.8,3.1 ,1.5 ,8.0 ,-74923 ,-16,      
m,A,Mitrovic        ,FUL ,F,6.7 ,97 ,0.33 ,0.39 ,4.2,4.6 ,2.4 ,18.6,-79804 ,-7 ,      
o,F,Felipe Anderson ,WHU ,M,7.4 ,93 ,0.38 ,0.39 ,4.8,4.9 ,6.4 ,18.7,-82710 ,-7 ,      
 ,R,Fraser          ,BOU ,M,6.3 ,91 ,0.51 ,0.52 ,5.2,5.3 ,4.0 ,27.3,-88792 ,-5 ,      
 ,T,Alexander-Arnold,LIV ,D,5.2 ,70 ,0.69 ,0.69 ,5.6,5.6 ,1.6 ,18.4,-89076 ,-8 ,      
 ,C,Wilson          ,BOU ,F,6.9 ,89 ,0.52 ,0.59 ,5.6,6.1 ,3.8 ,34.6,-104676,-5 ,      
